title,year,tmdb_id,matched_title,budget,revenue,roi,vote_average,vote_count,has_financials,has_reception,usable
The Other Boleyn Girl,2008,12184,The Other Boleyn Girl,35000000,78269970,2.24,6.703,2226,True,True,True
The Pacifier,2005,10022,The Pacifier,56000000,198636868,3.55,6.075,3277,True,True,True
The Parent Trap,1998,9820,The Parent Trap,15000000,92108518,6.14,7.217,4554,True,True,True
The Passion of Joan of Arc,1928,780,The Passion of Joan of Arc,0,18121,,7.963,1094,False,True,False
The Patriot,2000,2024,The Patriot,110000000,215294342,1.96,7.206,4359,True,True,True
The Perks of Being a Wallflower,2012,84892,The Perks of Being a Wallflower,13000000,33384127,2.57,7.806,11248,True,True,True
The Pianist,2002,423,The Pianist,35000000,120098945,3.43,8.373,10186,True,True,True
The Piano,1993,713,The Piano,7000000,40200000,5.74,7.374,1658,True,True,True
The Ploughmans Lunch,1983,160103,The Ploughman's Lunch,0,0,,5.071,14,False,False,False
The Postman,1997,9922,The Postman,80000000,17626234,0.22,6.272,1206,True,True,True
The Power of One,1992,13823,The Power of One,18000000,2827107,0.16,7.5,151,True,True,True
The Princess Bride,1987,2493,The Princess Bride,16000000,30900000,1.93,7.7,5143,True,True,True
The Private Life of Sherlock Holmes,1970,5185,The Private Life of Sherlock Holmes,10000000,1500000,0.15,6.83,335,True,True,True
The Producers,1967,,,,,,,,False,False,False
The Program,1993,18133,The Program,0,23042200,,6.472,109,False,True,False
The Prophecy,1995,11980,The Prophecy,8000000,16115878,2.01,6.5,566,True,True,True
The Proposal,2009,18240,The Proposal,40000000,317400000,7.93,7.171,7589,True,True,True
The Public Eye,1992,31692,The Public Eye,15000000,3067917,0.2,6.22,100,True,True,True
The Queen,2006,1165,The Queen,15000000,123384128,8.23,7.0,1433,True,True,True
The Rage: Carrie 2,1999,7341,The Rage: Carrie 2,21000000,17762705,0.85,5.662,464,True,True,True
The Reader,2008,8055,The Reader,32000000,108902486,3.4,7.469,3402,True,True,True
The Relic,1997,11015,The Relic,60000000,33956608,0.57,6.055,611,True,True,True
The Replacements,2000,10393,The Replacements,50000000,50054511,1.0,6.711,1084,True,True,True
The Rescuers Down Under,1990,11135,The Rescuers Down Under,38000000,47431461,1.25,6.644,1399,True,True,True
The Road,2009,20766,The Road,32000000,27635305,0.86,7.019,4309,True,True,True
The Rock,1996,9802,The Rock,75000000,335062621,4.47,7.152,5223,True,True,True
The Rocky Horror Picture Show,1975,36685,The Rocky Horror Picture Show,1400000,171181400,122.27,7.441,3149,True,True,True
The Roommate,2011,49950,The Roommate,16000000,52545707,3.28,5.391,1000,True,True,True
The Ruins,2008,11152,The Ruins,8000000,22818256,2.85,5.929,1448,True,True,True
The Running Man,1987,865,The Running Man,27000000,38122105,1.41,6.542,2866,True,True,True
The Saint,1997,10003,The Saint,68000000,118100000,1.74,6.118,1257,True,True,True
The Salton Sea,2002,11468,The Salton Sea,18000000,1073198,0.06,6.6,364,True,True,True
The Sandlot,1993,11528,The Sandlot,7000000,34348444,4.91,7.564,1335,True,True,True
The Scarlet Letter,1926,,,,,,,,False,False,False
The Searchers,1956,3114,The Searchers,3750000,0,0.0,7.689,1586,False,True,False
The Sessions,2012,113947,The Sessions,1000000,9138338,9.14,6.885,613,True,True,True
The Seventh Seal,1957,490,The Seventh Seal,150000,311212,2.07,8.147,3368,True,True,True
The Seventh Victim,1943,20945,The Seventh Victim,100000,0,0.0,6.462,157,False,True,False
The Shawshank Redemption,1994,278,The Shawshank Redemption,25000000,28341469,1.13,8.723,30663,True,True,True
The Shining,1980,694,The Shining,19000000,44781695,2.36,8.203,19016,True,True,True
The Shipping News,2001,6440,The Shipping News,38000000,24690441,0.65,6.389,422,True,True,True
The Siege,1998,9882,The Siege,70000000,116700000,1.67,6.299,1504,True,True,True
The Silence of the Lambs,1991,274,The Silence of the Lambs,19000000,272742922,14.35,8.345,18092,True,True,True
The Sixth Sense,1999,745,The Sixth Sense,40000000,672800000,16.82,7.954,12944,True,True,True
The Sting,1973,9277,The Sting,5500000,159616327,29.02,8.013,3001,True,True,True
The Stone Tape,1972,41032,The Stone Tape,0,0,,6.047,43,False,False,False
The Straight Story,1999,404,The Straight Story,10000000,6418028,0.64,7.739,1809,True,True,True
The Stunt Man,1980,42160,The Stunt Man,0,0,,6.607,168,False,True,False
The Sweet Hereafter,1997,10217,The Sweet Hereafter,5000000,7951247,1.59,6.906,431,True,True,True
The Swimmer,1968,33564,The Swimmer,0,0,,7.323,265,False,True,False
The Taking of Pelham One Two Three,1974,8333,The Taking of Pelham One Two Three,0,0,,7.456,632,False,True,False
The Talented Mr. Ripley,1999,1213,The Talented Mr. Ripley,40000000,128798265,3.22,7.197,4169,True,True,True
The Terminator,1984,218,The Terminator,6400000,78371200,12.25,7.685,14710,True,True,True
The Thin Man,1934,3529,The Thin Man,226408,1423000,6.29,7.502,540,True,True,True
The Thing,1982,1091,The Thing,15000000,19629760,1.31,8.074,8005,True,True,True
The Thing Called Love,1993,27804,The Thing Called Love,14000000,1029721,0.07,6.2,149,True,True,True
The Thing from Another World,1951,10785,The Thing from Another World,1300000,1950000,1.5,6.726,688,True,True,True
The Things My Father Never Taught Me,2012,,,,,,,,False,False,False
The Third Man,1949,1092,The Third Man,0,1226098,,7.894,2117,False,True,False
The Three Musketeers,1993,10057,The Three Musketeers,30000000,111898845,3.73,6.392,1068,True,True,True
The Time Machine,1960,2134,The Time Machine,750000,5902,0.01,7.364,922,True,True,True
The Time Machine,2002,2135,The Time Machine,80000000,123729176,1.55,6.3,2568,True,True,True
The Tourist,2010,37710,The Tourist,100000000,278731369,2.79,6.2,5772,True,True,True
The Transformers: The Movie,1986,1857,The Transformers: The Movie,6000000,5860601,0.98,7.142,603,True,True,True
The Truman Show,1998,37165,The Truman Show,60000000,264118712,4.4,8.2,20364,True,True,True
The Twilight Saga: New Moon,2009,18239,The Twilight Saga: New Moon,50000000,709827462,14.2,5.989,9773,True,True,True
The Ugly Truth,2009,20943,The Ugly Truth,38000000,321700000,8.47,6.51,3787,True,True,True
The Usual Suspects,1995,629,The Usual Suspects,6000000,23300000,3.88,8.168,11475,True,True,True
The Verdict,1982,24226,The Verdict,16000000,53977250,3.37,7.465,738,True,True,True
The Village,2004,6947,The Village,60000000,256700000,4.28,6.489,4614,True,True,True
The Visitor,2007,250319,The Visitor,0,0,,8.0,1,False,False,False
The Way Back,2010,49009,The Way Back,30000000,24172201,0.81,6.998,1771,True,True,True
The Wedding Date,2005,6961,The Wedding Date,15000000,47175038,3.15,6.816,1261,True,True,True
The Whistleblower,2010,65760,The Whistleblower,0,1870392,,6.733,618,False,True,False
The White Ribbon,2009,37903,The White Ribbon,21555450,11652157,0.54,7.5,1138,True,True,True
The Wild Bunch,1969,576,The Wild Bunch,6244087,638641,0.1,7.582,1344,True,True,True
The Wild One,1953,28696,The Wild One,0,0,,6.572,334,False,True,False
The Witching Hour,1934,244165,The Witching Hour,0,0,,6.5,4,False,False,False
The Wizard of Oz,1939,630,The Wizard of Oz,2777000,33754967,12.16,7.6,6143,True,True,True
The Woodsman,2004,9692,The Woodsman,4000000,4700000,1.18,6.842,534,True,True,True
The World Is Not Enough,1999,36643,The World Is Not Enough,135000000,361832400,2.68,6.289,3289,True,True,True
The Wrestler,2008,12163,The Wrestler,6000000,44734660,7.46,7.539,4040,True,True,True
The X-Files,1998,846,The X-Files,66000000,189198313,2.87,6.91,1820,True,True,True
Thelma & Louise,1991,1541,Thelma & Louise,16000000,45361000,2.84,7.605,3902,True,True,True
Theres Something About Mary,1998,544,There's Something About Mary,23000000,369900000,16.08,6.63,5386,True,True,True
They,2002,16028,They,17000000,12840842,0.76,5.046,292,True,True,True
Things to Come,1936,3596,Things to Come,0,0,,6.523,221,False,True,False
Thirteen Days,2000,11973,Thirteen Days,80000000,34566746,0.43,6.994,837,True,True,True
This Boys Life,1993,8092,This Boy's Life,0,4104962,,7.134,1092,False,True,False
This Is 40,2012,89492,This Is 40,35000000,88200000,2.52,5.897,2354,True,True,True
This Is Spinal Tap,1984,11031,This Is Spinal Tap,2500000,6051884,2.42,7.411,1641,True,True,True
Thor,2011,10195,Thor,150000000,449326618,3.0,6.771,22413,True,True,True
Three Kings,1999,6415,Three Kings,75000000,108000000,1.44,6.646,2317,True,True,True
Three Men and a Baby,1987,12154,3 Men and a Baby,11000000,242780960,22.07,6.2,1102,True,True,True
Thunderheart,1992,12395,Thunderheart,0,0,,6.328,319,False,True,False
Ticker,2001,31002,Ticker,7000000,379739,0.05,3.722,133,True,True,True
Timber Falls,2007,8875,Timber Falls,2600000,677548,0.26,5.418,177,True,True,True
Tin Cup,1996,10478,Tin Cup,45000000,53854588,1.2,6.074,591,True,True,True
Tin Men,1987,10896,Tin Men,0,0,,6.338,142,False,True,False
Tinker Tailor Soldier Spy,2011,49517,Tinker Tailor Soldier Spy,30000000,81515369,2.72,6.621,2939,True,True,True
Titanic,1997,597,Titanic,200000000,2264162353,11.32,7.902,27279,True,True,True
To Sleep with Anger,1990,94725,To Sleep with Anger,0,1161627,,6.8,64,False,True,False
Tombstone,1993,11969,Tombstone,25000000,73205065,2.93,7.6,2467,True,True,True
Tomorrow Never Dies,1997,714,Tomorrow Never Dies,110000000,333011068,3.03,6.377,3464,True,True,True
Top Gun,1986,744,Top Gun,15000000,356830601,23.79,7.068,9634,True,True,True
Total Recall,1990,861,Total Recall,65000000,261317921,4.02,7.322,6512,True,True,True
Toy Story,1995,862,Toy Story,30000000,401157969,13.37,8.0,20062,True,True,True
Traffic,2000,1900,Traffic,48000000,207500000,4.32,7.096,2436,True,True,True
Trainspotting,1996,627,Trainspotting,4000000,71981823,18.0,7.959,10444,True,True,True
Tremors,1990,9362,Tremors,11000000,48572000,4.42,6.938,3596,True,True,True
Tristan & Isolde,2006,9044,Tristan & Isolde,31000000,28000000,0.9,6.7,848,True,True,True
Tron,1982,97,Tron,17000000,33002371,1.94,6.632,2777,True,True,True
Tron: Legacy,2010,20526,TRON: Legacy,170000000,409912892,2.41,6.544,7981,True,True,True
Troops,1997,,,,,,,,False,False,False
Tropic Thunder,2008,7446,Tropic Thunder,92000000,195702811,2.13,6.719,7013,True,True,True
True Believer,1989,31863,True Believer,0,0,,6.2,120,False,True,False
True Grit,2010,44264,True Grit,38000000,252300000,6.64,7.306,5779,True,True,True
True Lies,1994,36955,True Lies,115000000,378900000,3.29,7.097,4609,True,True,True
True Romance,1993,319,True Romance,12500000,12600000,1.01,7.54,3091,True,True,True
Twilight,2008,8966,Twilight,37000000,393616788,10.64,6.3,14451,True,True,True
Twin Peaks: Fire Walk with Me,1992,1923,Twin Peaks: Fire Walk with Me,10000000,4237427,0.42,7.424,2285,True,True,True
Twins,1988,9493,Twins,15000000,216614388,14.44,6.046,2529,True,True,True
Two for the Money,2005,9910,Two for the Money,35000000,30526509,0.87,6.059,725,True,True,True
U Turn,1997,10155,U Turn,19000000,6682098,0.35,6.624,817,True,True,True
Unbreakable,2000,9741,Unbreakable,75000000,248118121,3.31,7.144,9965,True,True,True
Under Fire,1983,12503,Under Fire,0,0,,6.657,182,False,True,False
Unforgiven,1992,33,Unforgiven,14400000,159157447,11.05,7.912,4984,True,True,True
Unknown,2011,48138,Unknown,30000000,130786397,4.36,6.688,4189,True,True,True
Up,2009,14160,Up,175000000,735103954,4.2,7.961,21757,True,True,True
Up in the Air,2009,22947,Up in the Air,25000000,166842739,6.67,6.9,4019,True,True,True
Urban Legend,1998,9877,Urban Legend,14000000,72527595,5.18,5.7,1475,True,True,True
V for Vendetta,2005,,,,,,,,False,False,False
Valkyrie,2008,2253,Valkyrie,75000000,200276000,2.67,6.962,4107,True,True,True
Vanilla Sky,2001,1903,Vanilla Sky,68000000,203388341,2.99,6.824,4690,True,True,True
Vertigo,1958,426,Vertigo,2479000,7808900,3.15,8.135,6366,True,True,True
Very Bad Things,1998,10029,Very Bad Things,30000000,9898412,0.33,6.271,695,True,True,True
Viridiana,1961,,,,,,,,False,False,False
Virtuosity,1995,9271,Virtuosity,30000000,24048000,0.8,5.524,614,True,True,True
WALL-E,2008,10681,WALL·E,180000000,521311860,2.9,8.115,20410,True,True,True
Wag the Dog,1997,586,Wag the Dog,15000000,64256513,4.28,6.936,1063,True,True,True
Walking Tall,2004,11358,Walking Tall,46000000,57223888,1.24,6.305,1676,True,True,True
Wall Street,1987,10673,Wall Street,15000000,43900000,2.93,7.162,2266,True,True,True
Wanted,2008,8909,Wanted,75000000,342463063,4.57,6.532,7631,True,True,True
War Horse,2011,57212,War Horse,66000000,177584879,2.69,7.305,3701,True,True,True
War of the Worlds,2005,74,War of the Worlds,132000000,603873119,4.57,6.55,9247,True,True,True
Warm Springs,2005,46661,Warm Springs,0,0,,6.635,26,False,False,False
Warrior,2011,59440,Warrior,25000000,23300000,0.93,7.842,5045,True,True,True
Watchmen,2009,13183,Watchmen,130000000,185258983,1.43,7.356,10056,True,True,True
Water for Elephants,2011,55787,Water for Elephants,38000000,117094902,3.08,6.9,2630,True,True,True
Waxwork,1988,29095,Waxwork,3000000,808114,0.27,6.146,333,True,True,True
We Own the Night,2007,2001,We Own the Night,21000000,55033767,2.62,6.694,1515,True,True,True
Wes Cravens New Nightmare,1994,11596,Wes Craven's New Nightmare,8000000,19721741,2.47,6.5,1607,True,True,True
Westworld,1973,2362,Westworld,1200000,10000000,8.33,6.779,1465,True,True,True
What About Bob,1991,10276,What About Bob?,35000000,63710000,1.82,6.887,911,True,True,True
What Lies Beneath,2000,2655,What Lies Beneath,100000000,291420351,2.91,6.439,2038,True,True,True
What Women Want,2000,3981,What Women Want,70000000,374100000,5.34,6.455,4410,True,True,True
When Harry Met Sally...,1989,639,When Harry Met Sally...,16000000,92823546,5.8,7.405,4624,True,True,True
When a Stranger Calls,1979,45964,When a Stranger Calls,1500000,25000000,16.67,6.212,302,True,True,True
While She Was Out,2008,15749,While She Was Out,6000000,498088,0.08,5.503,199,True,True,True
White Angel,1994,87713,White Angel,0,0,,4.9,5,False,False,False
White Christmas,1954,13368,White Christmas,0,1109388,,7.176,579,False,True,False
White Squall,1996,10534,White Squall,38000000,10300000,0.27,6.27,409,True,True,True
Whiteout,2009,22787,Whiteout,40000000,17976667,0.45,5.6,852,True,True,True
Who Framed Roger Rabbit,1988,856,Who Framed Roger Rabbit,70000000,329800000,4.71,7.5,6206,True,True,True
Whos Your Daddy,2004,13618,Who's Your Daddy?,0,0,,4.888,94,False,True,False
Wild Hogs,2007,11199,Wild Hogs,60000000,253625427,4.23,5.966,2475,True,True,True
Wild Things,1998,617,Wild Things,20000000,67200000,3.36,6.382,1994,True,True,True
Wild Things: Diamonds in the Rough,2005,17124,Wild Things: Diamonds in the Rough,0,0,,5.012,165,False,True,False
Wild Wild West,1999,8487,Wild Wild West,170000000,222104681,1.31,5.322,3608,True,True,True
Wild at Heart,1990,483,Wild at Heart,9500000,14569027,1.53,7.037,1923,True,True,True
Willard,2003,10929,Willard,22000000,8564586,0.39,6.117,372,True,True,True
Willow,1988,847,Willow,35000000,57300000,1.64,7.006,2176,True,True,True
Win Win,2011,55725,Win Win,10831173,10654385,0.98,6.82,560,True,True,True
Wind Chill,2007,14223,Wind Chill,6000000,285060,0.05,5.825,553,True,True,True
Withnail and I,1987,13446,Withnail & I,0,1544889,,7.24,630,False,True,False
Witness,1985,9281,Witness,12000000,116107459,9.68,7.1,1900,True,True,True
Wonder Boys,2000,11004,Wonder Boys,35000000,33426588,0.96,6.838,667,True,True,True
Wonderland,2003,4997,Wonderland,5000000,2466444,0.49,6.072,298,True,True,True
Working Girl,1988,3525,Working Girl,28000000,103173635,3.68,6.605,1063,True,True,True
X-Men,2000,36657,X-Men,75000000,296339527,3.95,7.017,12238,True,True,True
X-Men Origins: Wolverine,2009,2080,X-Men Origins: Wolverine,150000000,373062864,2.49,6.3,11294,True,True,True
XXX,2002,7451,xXx,70000000,277448382,3.96,5.989,4940,True,True,True
Year One,2009,17610,Year One,60000000,62357900,1.04,4.991,2046,True,True,True
Yes Man,2008,10201,Yes Man,70000000,223200000,3.19,6.691,7429,True,True,True
You Can Count on Me,2000,14295,You Can Count on Me,0,11200000,,6.9,349,False,True,False
Young Frankenstein,1974,3034,Young Frankenstein,2800000,86273333,30.81,7.855,3415,True,True,True
Youth in Revolt,2009,22327,Youth in Revolt,18000000,19651093,1.09,6.144,983,True,True,True
Youve Got Mail,1998,9489,You've Got Mail,65000000,250800000,3.86,6.707,3663,True,True,True
Zero Dark Thirty,2012,97630,Zero Dark Thirty,40000000,132800000,3.32,6.992,4912,True,True,True
Zerophilia,2005,30548,Zerophilia,325000,0,0.0,5.8,52,False,True,False
Zulu Dawn,1979,18061,Zulu Dawn,11750000,1875000,0.16,6.104,115,True,True,True
